Age,Annual_Income,Credit_Score,Years_at_Job,Existing_Loans,DTI_Ratio,Prediction,Risk_Probability,Default_status
28,61870,783,20,4,0.16,No Default,0.14883482,0
72,103273,315,17,0,0.33,No Default,0.317141538,0
45,29422,542,34,3,0.17,No Default,0.376947462,0
42,75172,506,19,4,0.36,Default,0.646579821,1
56,39786,570,14,4,0.47,Default,0.760531861,1
50,78955,414,4,4,0.38,Default,0.753769209,1
18,46775,598,12,2,0.22,No Default,0.211802258,0
74,18919,782,11,2,0.28,No Default,0.160338077,0
44,72026,696,20,4,0.42,No Default,0.474280551,0
74,71723,693,36,3,0.39,No Default,0.344348788,0
69,44822,374,5,0,0.17,No Default,0.218459982,0
30,43513,781,6,1,0.52,No Default,0.214831424,0
58,31079,402,25,2,0.34,Default,0.638491051,1
20,88128,596,7,3,0.18,No Default,0.190658564,0
56,93070,477,8,3,0.16,No Default,0.286433762,0
23,38579,514,26,1,0.58,Default,0.627092249,1
25,45708,614,3,1,0.24,No Default,0.142607828,0
44,58009,338,20,3,0.55,Default,0.891358781,1
26,186359,558,30,1,0.31,No Default,0.070885373,0
54,78634,306,20,3,0.29,Default,0.691711295,1
50,37357,348,39,1,0.45,Default,0.698343968,1
68,69695,837,24,1,0.1,No Default,0.021650605,0
59,30081,460,38,3,0.27,Default,0.608124057,1
61,85733,475,14,4,0.25,Default,0.530403562,1
41,138382,301,34,3,0.53,Default,0.800047522,1
32,138676,754,36,0,0.36,No Default,0.034667251,0
71,86460,575,27,1,0.28,No Default,0.152202494,0
49,44725,797,13,2,0.23,No Default,0.09328994,0
49,31242,327,3,1,0.4,Default,0.668585486,1
41,29729,632,19,0,0.18,No Default,0.078929321,0
58,14718,300,33,2,0.22,Default,0.669899916,1
69,84704,487,11,2,0.25,No Default,0.286259265,0
66,56873,355,32,3,0.4,Default,0.793253285,1
66,94335,846,23,4,0.29,No Default,0.149147231,0
69,122273,411,19,3,0.35,Default,0.523513942,1
29,62940,609,4,2,0.43,No Default,0.372807699,0
56,64407,335,37,2,0.58,Default,0.852362278,1
19,47469,738,29,4,0.48,Default,0.552142427,1
20,50360,624,23,1,0.3,No Default,0.171998582,0
66,86183,606,39,4,0.47,Default,0.633687824,1
54,54874,833,6,3,0.57,No Default,0.392825333,0
66,51046,408,35,1,0.35,No Default,0.474842941,0
73,59328,671,37,3,0.31,No Default,0.310962486,0
34,93261,656,15,4,0.14,No Default,0.183732801,0
66,42347,480,14,1,0.55,Default,0.632934011,1
19,57915,655,22,4,0.22,No Default,0.328653998,0
19,67686,367,11,0,0.13,No Default,0.152310995,0
45,106949,591,28,2,0.37,No Default,0.246661001,0
71,53122,480,14,1,0.52,Default,0.570005192,1
40,41818,765,28,2,0.3,No Default,0.152753572,0
54,46996,733,20,0,0.49,No Default,0.160012657,0
49,101369,763,14,1,0.52,No Default,0.145777568,0
50,165487,833,13,2,0.33,No Default,0.038661572,0
18,31042,365,15,2,0.4,Default,0.727188122,1
36,34625,320,14,1,0.37,Default,0.640759494,1
19,55028,683,3,2,0.57,No Default,0.456584603,0
70,63289,338,26,2,0.46,Default,0.76134168,1
61,88741,584,22,1,0.56,No Default,0.389776661,0
43,38347,635,28,2,0.21,No Default,0.195802704,0
49,35187,487,8,2,0.26,No Default,0.407738458,0
23,64154,542,6,3,0.14,No Default,0.250207525,0
49,52617,372,3,3,0.35,Default,0.726871727,1
72,95164,778,4,0,0.54,No Default,0.102278007,0
21,76395,400,4,3,0.26,Default,0.528061111,1
72,79038,813,10,3,0.16,No Default,0.072688688,0
28,56826,475,27,0,0.13,No Default,0.105218148,0
73,194422,537,15,2,0.32,No Default,0.121404029,0
34,39384,358,29,2,0.18,No Default,0.477147762,0
55,81259,398,3,3,0.27,Default,0.539391346,1
41,31734,794,1,0,0.51,No Default,0.144229177,0
22,35005,813,2,2,0.29,No Default,0.117171815,0
69,44193,596,20,4,0.4,Default,0.658547247,1
51,135220,510,5,1,0.35,No Default,0.16715916,0
23,68319,422,17,1,0.46,Default,0.523083438,1
39,44567,528,4,1,0.18,No Default,0.168876327,0
28,72201,687,8,3,0.56,Default,0.522128448,1
65,60935,439,19,1,0.42,No Default,0.484163388,0
33,46817,840,27,1,0.24,No Default,0.051117044,0
50,29782,690,25,4,0.16,No Default,0.294523044,0
26,122917,569,17,2,0.17,No Default,0.101564487,0
23,66496,311,18,4,0.49,Default,0.911653826,1
33,177525,688,2,3,0.39,No Default,0.135700521,0
46,95813,636,8,1,0.29,No Default,0.103387607,0
20,78878,805,35,2,0.27,No Default,0.077918184,0
37,48165,405,30,1,0.53,Default,0.684839508,1
53,34624,331,16,1,0.54,Default,0.794896307,1
36,53698,373,22,3,0.39,Default,0.764691979,1
43,34127,470,33,1,0.36,No Default,0.44087822,0
20,82875,368,4,0,0.51,No Default,0.487712047,0
36,135445,661,14,2,0.47,No Default,0.207016925,0
37,52551,732,2,2,0.3,No Default,0.154080407,0
49,96013,399,18,0,0.14,No Default,0.110239807,0
24,42420,308,27,3,0.48,Default,0.888931444,1
69,51470,328,2,1,0.18,No Default,0.364731298,0
58,39835,413,37,1,0.11,No Default,0.234994546,0
50,20607,761,3,2,0.52,No Default,0.392730708,0
57,58790,442,23,3,0.39,Default,0.685918668,1
56,63845,689,30,3,0.55,Default,0.547935875,1
35,102020,456,10,3,0.34,No Default,0.489899464,0
57,89118,634,36,1,0.56,No Default,0.334805671,0
18,89722,559,0,3,0.28,No Default,0.311192596,0
28,36790,381,8,0,0.46,Default,0.534526117,1
45,75338,740,16,4,0.25,No Default,0.230480553,0
74,132097,471,0,3,0.1,No Default,0.171410239,0
42,72397,530,2,4,0.29,Default,0.528766246,1
67,149387,374,25,1,0.47,No Default,0.405501005,0
40,164305,569,30,3,0.18,No Default,0.115992836,0
48,52353,361,25,2,0.35,Default,0.647098877,1
47,42257,619,22,1,0.21,No Default,0.133825002,0
59,40915,401,29,0,0.14,No Default,0.184117228,0
52,28055,728,9,0,0.41,No Default,0.136458385,0
24,46202,554,7,4,0.58,Default,0.840010185,1
33,109516,831,24,4,0.26,No Default,0.11904438,0
43,19890,411,21,2,0.39,Default,0.698974969,1
65,35641,612,14,2,0.58,Default,0.632701661,1
74,56186,760,9,0,0.43,No Default,0.100738079,0
69,38615,761,19,3,0.44,No Default,0.385509865,0
66,45998,391,22,0,0.19,No Default,0.222481272,0
19,46343,351,0,0,0.35,No Default,0.411150374,0
18,52639,819,1,2,0.28,No Default,0.091826363,0
65,41575,397,18,4,0.34,Default,0.810378077,1
29,39910,535,13,2,0.5,Default,0.616852325,1
22,95526,673,7,2,0.33,No Default,0.15465969,0
54,101197,533,37,2,0.13,No Default,0.132157447,0
49,30023,331,11,0,0.55,Default,0.719972892,1
72,15066,588,25,3,0.37,Default,0.594564786,1
26,101893,841,26,0,0.56,No Default,0.076320556,0
58,32389,413,28,1,0.39,Default,0.559616723,1
52,66594,503,14,2,0.13,No Default,0.196885555,0
36,27368,328,0,2,0.38,Default,0.752441126,1
65,114562,773,27,1,0.39,No Default,0.072619798,0
33,213594,552,2,2,0.21,No Default,0.056121673,0
20,65604,685,17,2,0.34,No Default,0.20043643,0
37,57122,361,33,2,0.33,Default,0.61096854,1
41,50966,814,31,1,0.41,No Default,0.11675907,0
71,88512,729,28,0,0.23,No Default,0.03670933,0
73,79526,836,24,2,0.39,No Default,0.116894075,0
50,98888,440,25,3,0.22,No Default,0.388443846,0
41,43741,599,38,1,0.32,No Default,0.228388885,0
69,70973,610,7,4,0.16,No Default,0.291259986,0
28,45650,770,18,1,0.12,No Default,0.041267826,0
66,35282,692,21,0,0.26,No Default,0.081955107,0
25,58658,744,28,1,0.24,No Default,0.070569553,0
53,37750,471,32,4,0.3,Default,0.713956343,1
55,107674,330,37,3,0.58,Default,0.860362697,1
57,38911,346,34,4,0.36,Default,0.866936355,1
37,71809,429,2,1,0.38,No Default,0.405807588,0
52,44280,651,18,4,0.57,Default,0.761798936,1
65,68770,357,9,1,0.56,Default,0.722008739,1
42,46073,405,26,3,0.54,Default,0.861844595,1
52,31932,629,14,3,0.15,No Default,0.24432757,0
42,76258,682,10,0,0.42,No Default,0.112618613,0
46,53225,461,25,3,0.5,Default,0.779501693,1
35,69078,585,23,2,0.52,Default,0.5,1
63,48318,370,12,4,0.39,Default,0.852703833,1
35,30823,753,31,4,0.11,No Default,0.186847499,0
19,102907,696,36,1,0.59,No Default,0.254185943,0
71,86541,814,3,3,0.34,No Default,0.145389203,0
52,45094,325,12,0,0.3,No Default,0.404356061,0
33,61999,612,8,0,0.3,No Default,0.105641068,0
58,100811,425,33,0,0.31,No Default,0.195737587,0
53,47642,707,36,2,0.22,No Default,0.139350499,0
50,51485,497,6,3,0.26,No Default,0.472580905,0
21,67630,487,0,0,0.59,No Default,0.463513974,0
50,47593,783,11,2,0.28,No Default,0.120350299,0
31,91908,749,20,4,0.36,No Default,0.288673782,0
38,55025,822,10,1,0.52,No Default,0.165261801,0
65,40456,653,13,3,0.36,No Default,0.422170343,0
37,81171,399,33,3,0.26,Default,0.535673669,1
73,33824,577,33,4,0.36,Default,0.668921673,1
25,163970,790,24,3,0.16,No Default,0.035259482,0
24,132091,554,3,3,0.17,No Default,0.150231936,0
20,77400,680,25,3,0.45,No Default,0.392936906,0
34,74210,841,15,3,0.56,No Default,0.323420269,0
50,72491,563,9,2,0.46,No Default,0.450242766,0
65,46884,628,1,2,0.14,No Default,0.13800306,0
29,69470,414,34,1,0.3,No Default,0.353568624,0
68,37738,575,18,3,0.1,No Default,0.246630408,0
39,77026,787,5,4,0.36,No Default,0.274887623,0
72,92403,580,18,0,0.2,No Default,0.062745986,0
39,49560,574,7,1,0.53,No Default,0.453179739,0
63,44464,627,13,0,0.15,No Default,0.062000958,0
47,32655,510,9,0,0.1,No Default,0.096730244,0
55,124116,325,2,3,0.33,Default,0.596978185,1
55,46266,326,37,4,0.18,Default,0.73750241,1
62,54210,382,28,0,0.47,Default,0.519299783,1
68,69569,712,14,0,0.56,No Default,0.191880225,0
71,68947,466,22,1,0.12,No Default,0.149876717,0
25,86966,468,22,4,0.3,Default,0.590422903,1
44,49530,528,17,4,0.6,Default,0.870250931,1
44,33882,666,18,0,0.47,No Default,0.218611512,0
51,31044,827,27,4,0.58,Default,0.60499357,1
38,44818,837,25,1,0.18,No Default,0.039896557,0
47,37200,823,9,1,0.21,No Default,0.052493516,0
50,51441,371,3,1,0.18,No Default,0.307333699,0
45,115126,405,1,3,0.25,No Default,0.414429201,0
64,49580,581,2,0,0.46,No Default,0.261327002,0
50,49571,432,6,4,0.18,Default,0.590395647,1
22,59385,833,15,1,0.36,No Default,0.075192799,0
65,48883,568,30,0,0.23,No Default,0.116867043,0
36,57890,711,9,0,0.51,No Default,0.168062897,0
21,78467,317,18,3,0.1,No Default,0.446939712,0
52,93188,416,27,4,0.21,Default,0.545192887,1
66,98874,443,16,4,0.4,Default,0.709612005,1
34,167447,721,27,1,0.15,No Default,0.017874528,0
61,79592,668,18,1,0.33,No Default,0.126654651,0
45,182999,349,36,0,0.32,No Default,0.138590862,0
47,40609,405,22,4,0.53,Default,0.91137221,1
46,170355,515,19,4,0.41,No Default,0.447669046,0
63,49504,724,12,1,0.42,No Default,0.184120949,0
70,51999,371,12,2,0.58,Default,0.839836903,1
23,56390,745,10,0,0.59,No Default,0.199279883,0
52,53674,485,14,4,0.43,Default,0.780301603,1
58,62499,369,16,3,0.36,Default,0.726259509,1
54,44801,449,27,3,0.4,Default,0.719713988,1
41,90669,545,18,2,0.29,No Default,0.247565047,0
46,45414,837,3,1,0.59,No Default,0.220268749,0
66,83100,398,21,1,0.45,Default,0.518756972,1
63,128522,577,21,1,0.25,No Default,0.088230919,0
70,50083,754,36,3,0.13,No Default,0.116790307,0
48,89071,403,38,1,0.12,No Default,0.167488683,0
52,79187,532,33,3,0.2,No Default,0.304943062,0
50,184691,693,32,2,0.22,No Default,0.040743652,0
69,46517,800,39,0,0.31,No Default,0.05801712,0
38,89101,550,32,4,0.21,No Default,0.378431054,0
49,26555,820,11,2,0.42,No Default,0.216054679,0
40,46726,378,1,3,0.21,Default,0.57831249,1
50,71445,351,27,2,0.19,No Default,0.419290694,0
20,120160,525,9,4,0.34,No Default,0.46821753,0
35,32436,350,21,0,0.54,Default,0.683963317,1
42,88702,485,16,4,0.33,Default,0.601359728,1
59,58011,333,25,3,0.31,Default,0.729478312,1
48,27979,430,2,4,0.39,Default,0.833406748,1
71,65564,742,6,2,0.23,No Default,0.101036292,0
20,140727,731,7,1,0.28,No Default,0.039632622,0
57,34193,796,19,2,0.21,No Default,0.096693081,0
63,56671,702,11,3,0.39,No Default,0.354644657,0
41,36558,622,34,0,0.45,No Default,0.243250989,0
67,47368,509,16,4,0.44,Default,0.781503878,1
49,122526,628,27,0,0.23,No Default,0.042907539,0
64,52273,671,9,3,0.49,Default,0.521687945,1
39,120666,759,21,4,0.23,No Default,0.132775956,0
40,104247,432,37,2,0.18,No Default,0.241310529,0
19,49942,420,32,2,0.27,No Default,0.47271519,0
44,46569,751,21,3,0.4,No Default,0.331095529,0
59,38253,428,36,4,0.17,Default,0.630436998,1
19,37592,390,12,2,0.42,Default,0.704745095,1
43,71439,328,26,3,0.53,Default,0.873346344,1
34,59284,823,14,3,0.25,No Default,0.120064605,0
57,43835,632,21,0,0.33,No Default,0.135362083,0
50,27601,596,29,2,0.21,No Default,0.253336077,0
26,63138,429,39,4,0.28,Default,0.681263115,1
60,47345,592,36,2,0.11,No Default,0.151039211,0
71,54303,472,33,2,0.58,Default,0.756317844,1
65,69726,323,33,2,0.31,Default,0.61270249,1
56,17138,398,34,3,0.49,Default,0.876616292,1
46,27815,705,18,1,0.17,No Default,0.084649595,0
59,188758,655,7,1,0.51,No Default,0.103863401,0
72,46476,438,38,0,0.53,Default,0.544950247,1
43,17005,802,32,2,0.46,No Default,0.296548043,0
52,28999,473,27,1,0.55,Default,0.672726164,1
67,207364,328,36,0,0.18,No Default,0.067616429,0
42,42129,795,24,3,0.34,No Default,0.232149514,0
41,106884,650,35,2,0.41,No Default,0.226340048,0
30,63612,598,16,4,0.4,Default,0.597031317,1
24,46981,491,23,3,0.53,Default,0.783067869,1
74,88231,363,20,0,0.21,No Default,0.191365912,0
53,18175,514,1,3,0.19,No Default,0.450670261,0
62,29127,465,30,4,0.23,Default,0.669045824,1
37,46808,842,32,3,0.55,No Default,0.386007707,0
18,30593,531,29,0,0.57,No Default,0.490500819,0
25,44784,840,11,4,0.38,No Default,0.30496066,0
63,91753,494,11,4,0.35,Default,0.609121934,1
33,63963,805,23,3,0.4,No Default,0.231528271,0
31,116460,633,23,4,0.41,No Default,0.428630149,0
29,66018,603,10,3,0.19,No Default,0.233818878,0
68,98344,736,12,2,0.44,No Default,0.18703574,0
40,57986,622,26,4,0.33,Default,0.5,1
32,44572,801,7,3,0.36,No Default,0.231168169,0
45,125527,692,9,2,0.12,No Default,0.044474652,0
51,41995,448,7,4,0.48,Default,0.860221907,1
19,71105,704,19,2,0.52,No Default,0.342082077,0
49,87943,582,7,4,0.41,Default,0.568169893,1
40,91194,661,8,0,0.47,No Default,0.133355585,0
39,33432,678,6,0,0.36,No Default,0.130490032,0
68,101313,497,13,3,0.41,Default,0.532625613,1
42,36699,655,27,1,0.3,No Default,0.173421392,0
39,89801,839,1,0,0.5,No Default,0.064088757,0
39,78243,728,7,1,0.33,No Default,0.092330948,0
66,90157,316,12,2,0.44,Default,0.704211903,1
69,32777,678,20,2,0.41,No Default,0.356426541,0
59,80335,805,27,1,0.45,No Default,0.111464085,0
23,103032,375,34,3,0.49,Default,0.758577082,1
32,65953,530,22,4,0.36,Default,0.637045106,1
71,39762,547,14,1,0.51,Default,0.5,1
60,94833,601,1,1,0.35,No Default,0.158629752,0
54,63383,514,11,1,0.58,Default,0.564019931,1
50,25920,457,35,1,0.48,Default,0.627529219,1
25,38250,368,2,1,0.19,No Default,0.347668903,0
70,46020,692,4,3,0.51,Default,0.533419009,1
61,127122,384,2,0,0.38,No Default,0.233913381,0
61,116435,566,18,4,0.59,Default,0.725122762,1
22,116248,368,1,0,0.46,No Default,0.346683949,0
56,67250,646,36,1,0.14,No Default,0.070681517,0
21,94541,722,16,0,0.3,No Default,0.046184532,0
23,33847,473,13,3,0.36,Default,0.661905221,1
62,60078,414,27,2,0.52,Default,0.744579618,1
49,75042,519,26,0,0.46,No Default,0.280201349,0
69,34980,330,9,4,0.28,Default,0.828778784,1
47,66499,822,2,3,0.43,No Default,0.232029197,0
64,139151,642,35,2,0.39,No Default,0.168701861,0
52,79172,676,37,3,0.16,No Default,0.143981433,0
72,94728,429,24,1,0.22,No Default,0.211365918,0
57,17567,838,21,2,0.27,No Default,0.120203228,0
69,130481,301,38,4,0.2,Default,0.599520729,1
33,54553,400,29,2,0.18,No Default,0.384000397,0
30,40768,832,20,4,0.13,No Default,0.126873833,0
67,54867,357,29,1,0.54,Default,0.739721139,1
59,28495,688,27,4,0.24,No Default,0.390957725,0
