Age,Annual_Income,Credit_Score,Years_at_Job,Existing_Loans,DTI_Ratio
19,76890,763,13,2,0.4
23,66936,689,32,0,0.55
71,61039,435,32,1,0.59
59,20605,708,35,1,0.16
21,32625,523,22,2,0.58
71,56083,487,0,4,0.29
46,127987,686,26,4,0.47
35,79406,308,31,4,0.2
43,148304,479,20,2,0.44
61,62410,743,19,2,0.44
51,58957,745,26,2,0.24
27,122095,415,35,4,0.32
53,55292,544,31,0,0.31
31,36562,582,38,2,0.43
48,70149,512,28,2,0.59
65,104951,750,22,4,0.39
32,39617,324,34,2,0.37
25,80380,532,14,0,0.27
31,57146,815,9,4,0.44
40,75032,587,14,2,0.52
74,70036,483,24,2,0.15
57,48671,550,16,3,0.22
38,56778,590,30,3,0.4
33,50180,658,10,1,0.14
62,63536,604,19,1,0.27
35,39220,649,30,2,0.34
64,44199,638,15,3,0.5
70,48679,778,35,1,0.36
41,72827,764,38,4,0.29
43,29502,429,10,3,0.17
42,56751,486,19,0,0.2
62,42019,720,25,0,0.36
58,48741,795,25,0,0.5
46,43041,840,5,0,0.3
32,65991,534,34,3,0.21
62,55350,577,7,4,0.29
18,85460,401,6,0,0.13
42,73193,758,36,4,0.37
24,27763,531,15,1,0.14
26,37049,573,8,1,0.52
41,54909,664,10,2,0.48
18,58602,777,20,3,0.45
61,38719,767,6,0,0.57
25,114919,573,11,4,0.54
41,92257,627,39,4,0.1
28,26308,483,20,3,0.49
68,71161,493,4,1,0.39
34,58518,571,5,3,0.32
25,111517,599,25,4,0.24
52,27311,495,28,3,0.2
52,167699,630,2,1,0.54
50,39282,785,10,1,0.28
22,72349,798,22,0,0.32
59,44215,699,24,0,0.46
56,49608,696,11,0,0.49
58,25726,399,0,1,0.41
45,108928,380,3,4,0.31
24,52322,316,0,0,0.13
26,54131,511,5,3,0.41
25,190277,425,33,4,0.52
29,96734,429,26,2,0.12
51,42865,834,15,0,0.28
50,44128,513,10,2,0.22
65,68179,428,13,0,0.37
72,88024,823,37,4,0.11
40,143806,761,9,2,0.54
41,26794,356,12,1,0.5
54,86121,573,33,0,0.15
52,93324,638,32,3,0.55
61,40345,442,32,2,0.48
57,50004,722,38,3,0.58
39,26498,633,12,2,0.23
44,46609,432,16,4,0.53
52,67241,563,8,3,0.17
18,132860,446,12,0,0.45
52,139132,735,15,1,0.14
54,35787,311,36,4,0.46
64,124110,354,29,2,0.18
31,22591,529,38,0,0.47
20,44691,421,32,2,0.32
18,51487,532,39,3,0.17
22,67907,461,5,3,0.39
43,63149,799,11,1,0.11
72,71886,478,1,3,0.22
31,54639,661,32,4,0.25
56,96741,507,14,2,0.6
44,84619,731,16,2,0.5
26,51803,755,34,4,0.26
32,91235,803,30,3,0.28
32,168420,453,29,3,0.32
43,42760,637,37,4,0.49
59,138367,592,15,1,0.44
30,44723,735,39,0,0.37
68,121195,695,16,0,0.32
49,45571,465,6,3,0.23
56,87801,751,4,0,0.33
66,65500,835,39,0,0.49
69,24523,700,26,0,0.32
49,156025,414,0,3,0.36
21,38264,650,1,2,0.27
47,31735,559,3,3,0.34
54,43489,525,0,3,0.48
40,212271,785,28,1,0.56
56,31988,430,20,1,0.35
62,65455,563,34,3,0.17
32,34146,823,33,4,0.49
60,37203,480,38,4,0.48
46,26910,648,1,1,0.44
53,70093,770,24,1,0.39
30,55237,460,5,2,0.26
49,34006,413,7,1,0.47
24,92651,317,34,0,0.59
68,97671,403,18,3,0.33
39,73394,485,8,3,0.18
45,107509,641,32,3,0.21
19,50286,761,7,2,0.23
59,70346,442,37,2,0.42
62,50383,752,31,0,0.48
74,28179,750,22,3,0.27
70,66811,361,33,0,0.47
23,64818,575,22,1,0.14
45,58977,594,31,3,0.55
45,72181,428,0,0,0.13
61,121291,663,6,2,0.5
61,54056,366,23,2,0.46
37,37101,346,1,2,0.42
47,52898,673,17,0,0.13
28,55914,436,18,0,0.36
72,97909,394,35,0,0.16
45,63154,537,27,4,0.32
42,33721,334,34,3,0.18
56,89565,595,31,4,0.18
50,82666,791,12,4,0.39
18,63167,557,5,1,0.24
74,96194,686,28,1,0.49
44,104590,569,9,2,0.23
74,49576,623,39,4,0.27
69,38174,346,9,1,0.4
30,59519,786,33,4,0.1
58,78300,710,19,3,0.52
20,56801,424,32,4,0.15
56,36526,511,10,2,0.11
23,64947,668,23,0,0.49
25,21660,565,32,2,0.5
44,50907,434,21,4,0.42
26,91636,614,11,4,0.52
54,94157,599,29,0,0.56
50,9137,597,31,2,0.21
68,54377,578,18,2,0.32
59,80792,673,39,4,0.3
61,33254,787,1,3,0.18
41,49713,361,13,1,0.23
32,109519,353,32,4,0.3
71,47000,637,31,4,0.15
49,133161,674,18,1,0.48
49,41332,773,13,0,0.4
41,121168,411,3,4,0.56
58,60887,568,1,3,0.12
69,38593,623,9,0,0.43
66,121370,384,28,0,0.49
66,32753,671,14,0,0.36
69,40215,374,30,4,0.58
29,76493,807,32,0,0.12
56,62343,527,28,2,0.36
19,68664,693,10,4,0.26
20,49803,314,39,4,0.59
66,32869,480,8,1,0.58
54,43211,807,28,0,0.15
66,115867,637,36,4,0.3
73,30684,562,20,3,0.21
34,136248,377,30,3,0.51
66,70117,528,21,4,0.56
19,44426,329,17,4,0.54
19,22003,673,1,3,0.28
45,23497,454,21,3,0.25
71,50114,484,36,2,0.44
40,47168,747,19,3,0.57
54,63505,746,3,2,0.13
49,141431,731,25,4,0.13
50,78338,468,19,0,0.3
18,56142,380,21,0,0.31
36,110020,509,19,1,0.35
19,64558,558,28,2,0.35
70,133232,848,30,3,0.33
61,42785,585,22,2,0.49
43,33728,353,37,1,0.48
49,22022,768,15,1,0.48
23,56800,668,18,2,0.26
49,32295,399,10,3,0.11
72,32067,746,11,4,0.51
21,100424,491,35,4,0.56
72,25309,713,12,4,0.39
28,63056,781,1,1,0.16
73,57433,392,10,2,0.18
34,62696,552,0,1,0.53
55,119617,338,9,3,0.43
41,39622,845,2,0,0.22
22,119667,657,7,1,0.19
69,24832,308,15,3,0.25
51,82898,487,35,3,0.25
23,125264,438,39,3,0.51
39,7887,597,38,0,0.55
28,58823,379,19,4,0.23
65,56479,555,7,2,0.2
33,62064,478,9,1,0.38
50,140896,556,36,0,0.38
26,40871,517,31,3,0.21
23,33115,566,26,0,0.51
33,62290,616,30,1,0.56
46,105046,583,2,2,0.14
20,79167,644,38,1,0.48
37,60910,374,5,0,0.35
53,53390,635,16,3,0.2
36,21950,662,9,3,0.31
43,80252,489,20,4,0.35
20,85192,771,28,4,0.39
36,42354,405,28,2,0.12
37,47459,369,19,2,0.45
49,35450,821,14,4,0.35
24,92416,513,1,4,0.42
69,49864,816,32,1,0.52
58,55567,327,11,1,0.38
50,82012,614,12,3,0.55
57,70508,806,38,3,0.5
56,79351,535,38,4,0.41
35,65343,391,37,1,0.39
57,66075,662,20,4,0.32
18,65763,337,15,4,0.54
28,75091,790,33,2,0.31
45,76937,409,26,4,0.11
74,32456,443,2,3,0.12
42,44418,496,8,2,0.56
67,54085,345,33,1,0.16
40,75049,448,18,3,0.49
48,133080,437,37,0,0.52
47,39870,789,25,1,0.38
59,92904,701,22,0,0.52
52,45049,640,17,3,0.15
24,118807,601,39,1,0.6
33,155775,417,37,0,0.4
43,24984,450,9,0,0.53
65,50860,466,9,1,0.24
74,18488,724,20,4,0.26
69,25721,736,37,3,0.18
66,26535,373,37,3,0.46
19,81800,661,6,2,0.11
18,74495,395,11,1,0.15
65,89377,591,32,3,0.19
29,81142,476,24,0,0.45
22,76307,326,27,1,0.43
54,63318,604,23,0,0.41
49,56081,504,30,1,0.31
72,99687,519,17,0,0.57
26,60242,599,22,0,0.58
58,77853,557,6,1,0.28
52,18673,539,7,2,0.36
36,33271,528,14,0,0.45
65,97744,773,37,1,0.23
33,42863,455,27,4,0.48
20,29801,517,26,4,0.48
37,82507,764,20,2,0.35
41,59914,494,26,1,0.31
71,48851,569,13,2,0.42
73,127332,827,20,0,0.11
50,116858,655,13,4,0.53
41,54506,839,5,2,0.53
69,85921,775,11,0,0.35
28,19548,607,27,4,0.11
66,103433,708,28,2,0.29
25,34776,740,36,0,0.33
53,28967,820,37,3,0.52
55,24523,822,2,4,0.12
57,23593,784,32,0,0.35
37,102761,557,11,3,0.33
52,82090,469,11,2,0.21
65,40825,760,10,3,0.22
42,91807,410,27,4,0.39
52,44467,519,34,1,0.58
42,70391,304,33,2,0.5
46,47044,831,21,3,0.35
35,56388,594,38,0,0.39
63,38021,757,22,1,0.39
35,40949,812,11,1,0.45
19,78593,511,18,2,0.27
71,85168,418,30,3,0.44
52,48675,684,12,4,0.23
33,27923,559,18,3,0.5
58,205998,698,35,3,0.57
53,60982,474,21,2,0.38
50,69987,713,29,2,0.14
21,31867,433,3,0,0.46
50,109931,401,12,4,0.56
31,118651,684,19,2,0.57
38,25488,754,38,0,0.56
65,56886,361,5,1,0.38
37,54708,306,11,0,0.56
73,197644,814,15,4,0.23
25,123229,631,16,0,0.17
24,28987,678,7,0,0.34
20,41604,744,32,2,0.12
34,38311,634,38,4,0.14
50,72102,767,11,0,0.4
65,131413,587,25,3,0.45
29,63233,311,18,0,0.17
68,76924,403,12,1,0.27
39,42952,562,9,1,0.5
72,76718,734,33,0,0.2
39,47289,472,30,0,0.55
63,26360,620,26,3,0.38
47,74267,344,2,0,0.4
55,59579,845,4,2,0.18
55,34592,510,4,4,0.13
62,136310,716,36,3,0.28
68,40813,563,6,0,0.15
71,81190,600,39,2,0.15
25,49947,755,12,0,0.57
44,129545,525,33,3,0.13
44,53167,403,35,3,0.32
51,25917,520,33,1,0.48
38,89769,633,2,1,0.24
47,129284,717,9,0,0.35
50,48348,600,34,4,0.28
45,84073,784,36,2,0.46
64,63877,756,5,1,0.4
50,49446,735,20,1,0.25
22,91160,693,4,4,0.42
65,40134,342,2,3,0.1
36,60854,509,19,0,0.44
21,68096,310,29,0,0.49
52,66872,515,11,2,0.1
66,40631,463,34,4,0.43
34,167678,524,31,4,0.37
61,112546,545,18,4,0.24
45,98243,315,14,3,0.2
47,122590,493,9,4,0.58
46,61968,308,25,3,0.34
63,49729,813,5,0,0.33
70,34734,592,25,3,0.52
23,42120,383,1,0,0.29
52,36061,508,31,2,0.5
58,45979,357,2,4,0.38
54,68750,811,18,2,0.21
41,94562,630,35,4,0.28
46,93262,760,19,2,0.11
66,33331,624,29,1,0.32
63,84504,509,36,1,0.57
70,106077,424,19,3,0.42
48,52726,761,33,2,0.39
52,108975,589,16,4,0.53
50,92771,513,22,0,0.16
69,31815,731,8,3,0.5
38,179130,396,26,3,0.45
49,41863,548,16,1,0.36
40,96636,802,16,2,0.29
50,94903,824,1,2,0.12
20,32467,804,14,3,0.41
35,65479,390,10,1,0.38
42,94320,466,36,0,0.24
59,32295,550,8,1,0.24
48,62931,746,13,2,0.28
71,98354,485,7,0,0.32
20,101581,548,11,3,0.47
57,49092,639,6,0,0.36
63,129596,745,2,3,0.18
41,115008,437,25,1,0.55
67,67549,408,2,0,0.34
49,43067,716,3,4,0.55
64,33425,725,31,2,0.41
39,72313,343,13,3,0.38
40,124524,641,2,0,0.27
19,55626,500,12,0,0.59
44,38966,677,7,4,0.59
59,90441,403,37,1,0.28
19,65333,757,1,4,0.49
43,77493,714,37,0,0.23
34,46044,701,30,2,0.41
57,49765,689,38,0,0.44
50,45935,661,26,0,0.59
26,76847,733,16,0,0.24
60,50528,682,34,4,0.45
71,80516,327,23,4,0.22
65,43884,406,0,3,0.12
56,76783,839,28,3,0.24
46,85126,485,25,3,0.49
59,70669,494,34,0,0.57
72,94704,445,23,3,0.11
43,47064,427,32,3,0.16
52,84653,405,25,1,0.28
67,67283,715,36,4,0.33
42,39939,651,38,3,0.56
41,23074,682,25,4,0.11
30,25678,648,37,2,0.52
24,19847,780,37,1,0.36
74,74092,613,10,2,0.21
53,50899,822,28,4,0.2
62,62542,659,28,4,0.12
37,54709,620,2,2,0.22
18,80084,683,8,3,0.59
25,81263,316,34,1,0.5
63,61172,669,5,4,0.58
33,63051,365,8,0,0.18
31,64323,412,7,1,0.37
29,120077,715,26,2,0.57
68,21975,370,33,4,0.43
40,42819,360,23,4,0.11
32,92284,743,4,2,0.13
45,104187,613,9,0,0.31
51,74131,782,19,0,0.29
19,54608,543,21,4,0.54
49,151869,816,11,3,0.49
40,65441,669,28,0,0.17
39,60802,616,30,0,0.14
68,116528,320,5,3,0.53
42,75945,530,6,0,0.32
39,95790,825,32,3,0.18
39,101568,768,14,2,0.55
66,49700,377,12,1,0.46
69,144909,829,23,1,0.18
59,17482,589,29,2,0.4
23,22251,517,32,0,0.33
32,42612,399,19,1,0.23
71,48451,448,18,2,0.4
60,71776,684,18,1,0.32
54,42415,454,37,0,0.38
50,59518,694,23,3,0.25
25,54037,675,4,2,0.46
70,163118,401,21,1,0.31
61,40035,391,21,0,0.51
61,25808,710,27,1,0.4
22,104767,705,16,0,0.22
56,41899,320,30,0,0.27
21,57191,707,6,0,0.24
23,43343,318,16,0,0.28
62,86559,835,11,2,0.19
49,30117,837,6,3,0.34
69,14770,452,28,2,0.12
47,114445,600,7,1,0.27
64,67760,712,3,2,0.31
52,102367,501,39,2,0.48
72,112544,438,15,1,0.53
57,37864,323,15,3,0.49
69,61718,311,21,2,0.14
33,77087,434,10,0,0.43
30,56718,380,10,2,0.53
67,51221,654,4,1,0.36
59,53807,369,37,3,0.57
47,102926,503,11,2,0.54
36,52601,578,39,2,0.54
34,80830,678,24,1,0.58
73,71214,593,12,4,0.48
36,36971,714,25,4,0.44
45,69632,727,10,2,0.48
72,27740,455,39,0,0.28
43,73182,576,22,2,0.1
54,93485,564,12,4,0.12
43,104894,348,32,2,0.53
70,37184,592,27,0,0.31
40,45794,320,3,3,0.28
26,69011,743,27,2,0.41
29,47194,834,33,1,0.17
70,22823,771,9,0,0.37
18,45667,437,7,2,0.52
18,68878,529,8,4,0.31
64,102105,704,17,2,0.36
51,139330,656,1,4,0.18
49,63734,840,17,1,0.47
71,79478,320,39,3,0.38
65,96799,826,1,4,0.38
42,21476,404,21,2,0.21
57,35968,635,15,1,0.56
62,63024,723,36,0,0.27
70,130349,303,31,2,0.58
18,82033,768,9,0,0.27
33,70604,837,33,4,0.55
56,53420,493,15,1,0.38
22,74116,659,33,3,0.13
39,44434,819,36,2,0.58
46,40541,372,39,1,0.27
72,42341,377,33,1,0.51
20,117036,367,12,3,0.38
29,39335,633,36,4,0.22
43,49050,384,11,3,0.17
33,75773,795,14,3,0.22
68,38557,378,29,3,0.37
54,67042,605,30,0,0.35
39,67030,319,28,2,0.23
74,43816,455,33,3,0.18
46,52607,416,31,2,0.28
31,37354,749,22,3,0.18
45,119537,327,9,4,0.35
22,68104,628,7,4,0.32
64,35442,663,20,3,0.32
66,63777,718,10,1,0.23
47,65237,321,11,2,0.15
63,19504,560,38,4,0.39
69,117034,359,18,0,0.59
22,36504,712,33,1,0.43
29,170264,462,37,4,0.54
33,89111,413,33,1,0.15
43,34084,653,25,2,0.13
43,51168,495,39,1,0.48
65,94969,344,15,0,0.33
38,53163,478,18,1,0.51
56,107917,792,28,4,0.34
53,49610,624,37,0,0.14
50,57564,669,35,2,0.33
47,96285,646,20,4,0.43
54,80958,414,9,2,0.36
40,37698,656,22,3,0.21
27,74386,466,6,4,0.56
71,65102,653,37,1,0.43
22,37954,414,4,2,0.36
53,29874,707,18,1,0.34
51,22795,622,32,0,0.41
69,51678,840,23,2,0.33
48,58278,341,22,2,0.25
27,77056,759,21,0,0.29
36,90241,418,35,0,0.2
49,48682,749,20,0,0.48
18,57438,740,17,0,0.5
73,40971,488,37,3,0.47
22,62543,584,26,2,0.33
62,97173,403,36,3,0.21
21,62979,756,24,3,0.58
33,107115,610,38,1,0.49
41,96364,683,29,2,0.49
33,124100,464,13,2,0.41
72,63870,706,33,2,0.24
19,45880,775,31,2,0.19
66,81684,357,30,0,0.16
45,49689,715,1,4,0.41
49,80412,550,38,1,0.19
44,42984,519,34,1,0.29
37,39568,459,22,0,0.51
41,109998,486,5,3,0.24
29,36087,763,20,4,0.23
67,99820,797,25,1,0.46
52,80259,629,29,3,0.36
50,62764,648,29,2,0.38
50,23241,799,7,4,0.16
68,125847,789,38,4,0.24
60,37518,579,32,2,0.28
54,96430,463,9,1,0.58
29,42384,697,17,4,0.12
20,40717,367,35,0,0.53
18,83642,727,10,0,0.16
50,78372,731,7,0,0.59
57,33774,674,0,4,0.2
27,122808,722,7,1,0.24
60,54012,377,4,3,0.51
61,61973,787,0,1,0.28
46,51609,469,2,3,0.42
30,34496,337,26,4,0.39
29,86475,589,22,2,0.44
48,69201,470,38,3,0.51
63,40032,591,39,3,0.25
19,95996,721,10,1,0.54
68,61538,404,10,4,0.59
67,62204,705,35,1,0.44
52,145547,758,37,4,0.38
40,26795,547,30,3,0.59
34,26619,608,23,2,0.15
43,29792,672,18,4,0.29
25,71812,405,31,3,0.22
46,50035,614,39,2,0.14
43,52063,838,37,1,0.53
27,37376,371,16,1,0.27
43,137671,677,34,4,0.17
51,162837,795,11,4,0.29
68,93849,484,14,4,0.29
58,28179,433,38,1,0.16
24,46936,473,12,4,0.37
21,90556,692,29,3,0.15
70,58517,363,18,0,0.2
67,94005,714,8,0,0.46
62,111737,702,27,4,0.25
28,155375,412,24,3,0.42
46,43155,364,39,3,0.21
73,62357,700,3,3,0.36
53,48031,589,36,2,0.15
42,22017,782,6,3,0.12
38,85032,719,3,1,0.38
74,79357,614,22,1,0.49
53,45550,388,5,3,0.45
27,26929,656,8,0,0.49
54,49411,817,8,2,0.34
26,86298,664,20,1,0.45
41,116852,566,2,1,0.14
52,41928,705,12,1,0.52
66,104177,438,37,2,0.27
52,81734,464,17,3,0.54
65,73615,405,30,2,0.39
53,31357,448,28,3,0.15
35,32046,484,1,4,0.31
66,39521,709,30,1,0.5
56,50858,500,37,0,0.22
49,147321,519,6,2,0.19
41,42996,769,39,2,0.11
40,88046,733,9,1,0.44
49,47458,328,12,1,0.29
54,75837,363,0,0,0.19
29,58018,395,36,0,0.4
66,65415,839,24,1,0.17
72,72027,809,29,3,0.46
30,52853,639,1,1,0.39
40,72202,550,35,0,0.22
42,110963,578,23,1,0.54
52,41066,338,11,0,0.38
58,108329,368,4,4,0.16
47,52438,576,14,3,0.46
34,49736,419,6,0,0.26
66,84946,385,1,2,0.49
37,50484,476,2,2,0.3
65,70233,391,3,3,0.14
42,67028,719,15,3,0.42
39,21125,380,26,2,0.26
30,73776,640,21,4,0.57
36,29127,720,2,4,0.51
66,30259,527,16,0,0.28
53,71914,772,21,3,0.11
29,78299,387,6,2,0.37
58,109373,649,29,3,0.42
36,34728,489,7,2,0.44
29,41330,435,18,2,0.27
26,75522,624,6,0,0.17
24,110430,339,0,3,0.38
45,65912,586,15,4,0.34
31,38599,555,39,3,0.6
48,127160,719,30,2,0.39
69,52513,838,38,4,0.19
36,53337,590,26,2,0.28
64,29204,615,9,3,0.37
33,85994,431,33,2,0.52
70,91702,838,13,1,0.34
22,42069,602,1,4,0.5
52,143717,581,38,0,0.18
29,44642,791,21,1,0.29
42,81848,579,25,2,0.36
69,66958,799,4,3,0.11
38,21746,498,37,2,0.48
53,78586,674,15,0,0.52
70,75136,599,11,3,0.26
40,24755,598,16,4,0.58
33,128369,621,24,4,0.47
74,75289,409,23,2,0.51
56,111268,770,10,1,0.43
62,25385,711,17,3,0.51
70,48765,812,35,1,0.59
59,108044,779,2,2,0.52
56,27333,439,18,3,0.34
31,49485,803,5,4,0.42
48,73368,359,22,4,0.39
22,23218,482,39,2,0.35
52,30924,718,6,3,0.48
40,119496,526,8,2,0.32
46,61691,690,1,4,0.25
60,107834,443,10,0,0.12
28,65581,326,2,1,0.14
35,204423,807,29,2,0.21
64,74560,426,7,0,0.18
29,112971,755,36,4,0.11
26,52942,580,20,2,0.45
27,66527,694,7,4,0.48
61,82531,618,10,4,0.28
34,89671,740,33,2,0.59
55,58718,640,38,0,0.39
24,59956,418,15,2,0.15
63,76953,667,6,4,0.28
30,76928,684,3,3,0.39
57,35863,809,31,4,0.58
59,67002,457,36,2,0.44
26,70290,385,21,0,0.1
67,36748,660,6,4,0.43
44,94180,384,12,0,0.43
19,73597,658,17,0,0.53
22,192014,432,33,1,0.17
46,59100,686,12,0,0.5
54,105667,546,33,4,0.54
55,78398,440,28,4,0.5
36,156485,746,4,2,0.31
25,36864,375,30,2,0.45
65,46739,397,10,0,0.51
62,37501,602,37,3,0.57
18,57586,765,3,4,0.27
39,34119,354,6,0,0.2
69,27916,604,22,2,0.48
34,20604,833,30,4,0.15
24,19955,334,16,1,0.38
42,83132,839,9,2,0.53
62,47680,788,21,1,0.21
21,32309,439,29,4,0.29
53,43064,399,28,3,0.51
23,45983,672,16,0,0.35
48,36964,322,20,0,0.19
36,133622,583,21,3,0.14
61,121590,412,38,0,0.38
71,132487,672,39,0,0.11
56,65486,496,21,1,0.27
44,68887,463,26,0,0.41
27,43204,730,22,1,0.1
43,39201,309,3,0,0.53
36,60528,697,25,0,0.58
56,82965,451,38,2,0.31
20,108867,490,16,3,0.12
62,45570,576,2,2,0.24
30,32004,792,16,0,0.43
67,86421,542,39,1,0.12
45,24123,787,18,0,0.53
37,58711,575,38,4,0.5
45,62608,489,17,4,0.33
25,49543,606,27,4,0.49
58,27649,595,14,4,0.19
56,49870,533,25,0,0.58
18,136117,640,34,4,0.35
20,80487,492,15,3,0.59
30,107029,663,14,0,0.36
45,32578,557,4,2,0.45
74,68040,810,23,0,0.5
66,62578,530,1,1,0.5
42,63186,313,35,3,0.47
73,79056,313,30,0,0.17
50,64451,509,29,2,0.3
55,33033,339,11,1,0.37
70,81359,333,36,1,0.45
23,91166,533,20,2,0.3
61,115813,589,11,2,0.38
62,118400,732,39,2,0.31
49,75979,617,36,2,0.46
62,33812,707,34,4,0.14
64,27870,379,21,3,0.46
38,53447,475,35,2,0.52
33,94819,584,7,4,0.11
71,91813,617,26,0,0.37
38,68665,709,26,1,0.23
28,58789,441,35,0,0.32
54,155106,546,6,0,0.47
53,79779,476,2,4,0.49
52,57317,643,3,4,0.3
36,43359,563,23,2,0.15
37,36159,467,7,2,0.4
74,34422,324,12,4,0.24
35,36161,826,8,3,0.16
64,68904,827,19,2,0.26
58,59335,609,19,0,0.39
66,50870,327,4,2,0.55
31,86529,669,4,2,0.21
32,147943,683,34,3,0.48
48,39669,593,0,4,0.53
18,42738,778,14,3,0.17
70,19761,336,16,2,0.1
71,59091,846,11,3,0.57
71,56172,671,35,2,0.15
20,93563,401,14,3,0.18
33,57330,654,13,1,0.3
40,44620,764,26,1,0.25
74,65929,779,21,2,0.59
28,79105,515,8,3,0.51
29,26665,626,20,2,0.42
27,99056,546,2,3,0.11
49,115053,387,30,4,0.22
33,78725,633,12,3,0.2
25,37523,499,1,3,0.23
55,50867,682,13,2,0.57
29,108167,727,6,3,0.3
41,36713,634,28,2,0.54
45,81987,749,3,2,0.34
70,58373,515,3,0,0.43
25,64867,554,23,2,0.57
45,39423,828,20,3,0.39
53,70638,804,27,1,0.28
43,68154,737,37,4,0.34
25,28150,769,7,3,0.33
67,59741,305,16,3,0.5
45,81385,518,8,3,0.27
45,49382,812,19,0,0.12
54,17608,812,4,1,0.44
58,56533,488,34,3,0.53
53,124646,546,28,2,0.35
44,50400,727,11,1,0.17
71,122311,849,31,1,0.17
34,39887,662,30,3,0.55
26,33507,695,30,2,0.14
50,59721,435,0,1,0.35
70,39684,733,4,4,0.27
37,70610,617,35,2,0.24
30,49697,834,11,1,0.19
45,125111,800,15,1,0.25
65,48010,648,15,2,0.46
46,62621,358,20,0,0.4
30,80673,439,32,2,0.14
63,96582,503,25,4,0.48
52,125469,457,2,0,0.28
23,53240,629,22,3,0.21
35,49037,495,24,0,0.51
68,22995,730,19,4,0.42
22,166184,818,35,4,0.46
64,71716,771,34,4,0.25
42,87195,757,32,1,0.47
19,79052,344,4,0,0.24
27,61375,337,3,4,0.44
73,71337,640,7,0,0.21
47,45259,601,10,0,0.42
67,51480,492,26,3,0.33
62,37231,431,9,3,0.18
22,130433,767,19,3,0.4
72,79279,469,31,1,0.11
73,160827,564,26,1,0.45
50,188752,498,17,3,0.57
71,29670,582,25,4,0.55
18,97989,704,34,2,0.59
35,30364,846,27,1,0.32
49,65428,779,0,2,0.51
64,70078,503,33,1,0.17
66,31458,770,25,0,0.11
28,41408,648,5,4,0.18
38,71694,342,24,1,0.32
43,65391,781,16,0,0.18
42,35983,676,25,4,0.33
39,42234,377,20,1,0.22
44,28403,335,31,4,0.21
66,32811,682,24,1,0.56
30,49726,473,31,3,0.36
50,98098,629,18,1,0.44
51,104518,354,1,1,0.3
58,149749,578,34,0,0.18
52,74023,758,15,3,0.46
18,65784,824,15,2,0.32
38,76693,754,32,4,0.52
65,76326,791,23,2,0.14
72,26681,373,30,2,0.29
23,153958,754,22,3,0.18
45,22800,454,16,3,0.45
34,106338,818,32,3,0.27
22,61586,674,36,0,0.31
48,34726,605,35,0,0.27
22,78095,642,18,4,0.52
55,56439,343,20,3,0.38
20,42562,847,38,2,0.45
70,30009,740,39,4,0.47
40,28774,396,18,0,0.45
54,44114,464,7,1,0.57
70,49340,402,25,1,0.43
54,32686,735,17,4,0.42
27,61037,680,13,0,0.5
27,35099,746,17,4,0.11
36,71690,306,36,0,0.13
34,110823,393,27,3,0.22
38,69195,743,32,1,0.19
31,57129,778,5,2,0.18
26,45823,793,6,3,0.38
63,123383,336,4,2,0.2
18,54352,832,26,4,0.58
68,207962,397,7,1,0.19
